,spacy_lem
0,jurong point crazy available bugis n great world la e buffet cine get amore wat
1,ok lar joke wif u oni
2,free entry 2 wkly comp win fa cup final tkts 21st 2005 text fa 87121 receive entry question(std txt rate)t&c apply 08452810075over18
3,u dun early hor u c
4,nah think go usf live
5,freemsg hey darle 3 week word like fun tb ok xxx std chg send £ 1.50 rcv
6,brother like speak treat like aid patent
7,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
8,winner value network customer select receivea £ 900 prize reward claim 09061701461 claim code kl341 valid 12 hour
9,mobile 11 month u r entitle update late colour mobile camera free mobile update co free 08002986030
10,going to home soon want talk stuff anymore tonight k cry today
11,"chance win cash 100 20,000 pound txt > csh11 send 87575 cost 150p day 6days 16 + tsandc apply reply hl 4 info"
12,"urgent win 1 week free membership £ 100,000 prize jackpot txt word claim 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18"
13,search right word thank breather promise will not help grant fulfil promise wonderful blessing time
14,date sunday
15,xxxmobilemovieclub use credit click wap link txt message click > > http://wap xxxmobilemovieclub.com?n=qjkgighjjgcbl
16,oh k i'm watch
17,eh u remember 2 spell yes v naughty v wet
18,fine thats way u feel thats way gota b
19,england v macedonia not miss goal team news txt ur national team 87077 eg england 87077 try wale scotland 4txt ú1.20 poboxox36504w45wq 16 +
20,seriously spell
21,i‘m go try 2 month ha ha joke
22,ü pay lar da stock comin
23,aft finish lunch str lor ard 3 smth lor u finish ur lunch
24,ffffffffff alright way meet soon
25,force eat slice hungry tho suck mark get worried know sick turn pizza lol
26,lol convincing
27,catch bus fry egg tea eat mom leave dinner feel love
28,amp pack car let know room
29,ahhh work vaguely remember feel like lol
30,wait clear sure sarcastic x want live
31,yeah get 2 v apologetic n fall actin like spoilt child got catch till 2 will badly cheer
32,k tell
33,fear faint housework quick cuppa
34,thank subscription ringtone uk mobile charge £ 5 month confirm reply yes reply charge
35,yup ok home look timing msg ü xuhui go learn 2nd lesson 8
36,oops let know roommate
37,letter b car
38,lor u decide
39,hello saturday texte decide tomo try invite
40,pls ahead watt want sure great weekend abiola
41,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,07732584351 rodger burn msg = try reply sm free nokia mobile + free camcorder 08000930705 delivery tomorrow
43,see
44,great hope like man endowed   lt;#&gt   inch
45,call message miss call
46,hep b immunisation nigeria
47,fair go
48,yeah hopefully tyler maybe ask bit
49,u know stubborn want hospital keep tell mark weak sucker hospital weak sucker
50,think time see class
51,gram usually run like   lt;#&gt half eighth smart get second gram   lt;#&gt
52,k fyi x ride early tomorrow morning crash place tonight
53,wow realize embarasse accomodation think like good happy cave sorry sorry offer sorry room embarassing
54,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
55,know mallika sherawat yesterday find   lt;url&gt
56,congrat 1 year special cinema pass 2 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420 ip4 5we 150pm not miss
57,sorry later meeting
58,tell reach
59,yes gauti sehwag odi series
60,going to pick $ 1 burger way home pain kill
61,ha ha ha good joke girl situation seeker
62,check iq
63,sorry roommate take forever ok come
64,ok lar double check wif da hair dresser say wun cut v short say cut look nice
65,value customer pleased advise follow recent review mob award £ 1500 bonus prize 09066364589
66,today song dedicate day song u dedicate send ur valuable frnd rply
67,urgent ur award complimentary trip eurodisinc trav aco&entry41 £ 1000 claim txt dis 87121 18 + 6*£1.50(morefrmmob shracomorsglsuplt)10 ls1 3aj
68,hear new divorce barbie come ken stuff
69,plane month end
70,wah lucky man save money hee
71,finish class
72,hi babe m home wanna xx
73,k k:)where you?how perform
74,u
75,wait machan free
76,s cool gentleman treat dignity respect
77,like people shy pa
78,operate   lt;#&gt  
79,look job ta earn
80,sorry later
81,k. ah
82,ok way home hi hi
83,place man
84,yup stop
85,later network urgnt sm
86,real u get yo need 2 ticket jacket multis
87,yes start send request pain come bed double coin factory got to cash nitro
88,tonight babe
89,"ela kano ,il download come wen ur free"
90,yeah don‘t stand close tho- you‘ll catch
91,sorry pain ok meet night spend late afternoon casualty mean y stuff42moro include time sheet sorry
92,smile pleasure smile pain smile trouble pour like rain smile sum1 hurt u smile becoz love u smile
93,customer service representative 0800 169 6031 10am-9pm win guarantee £ 1000 cash £ 5000 prize
94,not plan buy later check lido get 530 e afternoon u finish work
95,free ringtone wait collect simply text password mix 85069 verify usher britney fml po box 5249 mk17 92h 450ppw 16
96,watch telugu movie wat abt u
97,finish load loan pay
98,hi wk ok hol yes bit run forgot hairdresser appointment need home n shower cause prob u
99,cup coffee animation
100,text anymore
101,okay ur price long legal wen pick y u ave x ams xx
102,look car buy go 4the driving test
103,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
104,wow right mean guess give boston man change search location nyc change cuz signin page say boston
105,umma life vava umma love lot dear
106,thank lot wish birthday thank make birthday truly memorable
107,aight hit cash
108,ip address test consider computer minecraft server
109,know grumpy old people mom like well lie play joke
110,nt worry guess busy
